id,time,country,studies,socpro,age,gender,official_vote,opinion_on_system,rule_1,rule_2,rule_3,rule_4
13,2022-04-08,FR,nspp,etudiant,nspp,f,ni,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
14,2022-04-08,FR,superieur,public,30-39,h,Anne Hidalgo,-1.0,approval,borda,scores_4_pos,majority_judgement_7
15,2022-04-08,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-1.0,approval,borda,scores_3_neg,majority_judgement_7
16,2022-04-08,FR,superieur,chomage,50-59,h,Jean-Luc Mélenchon,1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
17,2022-04-08,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_pos,majority_judgement_5
18,2022-04-08,NL,superieur,prive,30-39,h,Fabien Roussel,-1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
19,2022-04-08,FR,superieur,etudiant,18-29,h,Fabien Roussel,-1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
20,2022-04-08,FR,superieur,public,30-39,f,Fabien Roussel,-1.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
21,2022-04-08,FR,superieur,prive,30-39,h,Jean Lassalle,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
22,2022-04-08,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_7
23,2022-04-08,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_3_neg,majority_judgement_5
24,2022-04-08,FR,superieur,liberal,40-49,f,Eric Zemmour,-1.0,approval,irv_1,scores_3_neg,majority_judgement_5
25,2022-04-08,FR,superieur,public,18-29,h,Valérie Pecresse,-1.0,approval,irv_2,scores_4_pos,majority_judgement_7
26,2022-04-08,FR,superieur,prive,30-39,h,blanc,-2.0,approval,borda,scores_3_neg,majority_judgement_5
27,2022-04-08,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
28,2022-04-08,FR,superieur,public,40-49,f,Fabien Roussel,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
29,2022-04-09,FR,superieur,public,50-59,h,blanc,-2.0,approval,irv_1,scores_4_neg,majority_judgement_5
30,2022-04-09,FR,superieur,prive,18-29,h,Emmanuel Macron,-1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_7
31,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_neg,majority_judgement_5
32,2022-04-09,CH,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
33,2022-04-09,FR,superieur,etudiant,18-29,f,Marine Le Pen,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_5
34,2022-04-09,FR,superieur,prive,40-49,f,Jean-Luc Mélenchon,0.0,approval,irv_2,scores_4_neg,majority_judgement_5
35,2022-04-09,FR,secondaire,public,40-49,h,Emmanuel Macron,1.0,approval,borda,scores_4_neg,majority_judgement_5
36,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_pos,majority_judgement_5
37,2022-04-09,FR,superieur,autre,50-59,h,blanc,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
38,2022-04-09,FR,superieur,public,30-39,h,Anne Hidalgo,-2.0,approval,irv_2,scores_4_pos,majority_judgement_5
39,2022-04-09,FR,superieur,public,40-49,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_3_neg,majority_judgement_5
40,2022-04-09,FR,superieur,public,50-59,h,Emmanuel Macron,2.0,approval,borda,scores_4_pos,majority_judgement_7
41,2022-04-09,FR,superieur,prive,40-49,f,Jean-Luc Mélenchon,0.0,approval,irv_2,scores_3_neg,majority_judgement_5
42,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
43,2022-04-09,DE,superieur,public,30-39,h,Fabien Roussel,-2.0,approval,borda,scores_4_neg,majority_judgement_7
44,2022-04-09,FR,superieur,prive,30-39,h,Yannick Jadot,-2.0,approval,borda,scores_3_neg,majority_judgement_5
45,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_5
46,2022-04-09,FR,superieur,public,60-69,h,Emmanuel Macron,1.0,approval,borda,scores_3_neg,majority_judgement_7
47,2022-04-09,FR,superieur,liberal,30-39,f,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_4_pos,majority_judgement_7
48,2022-04-09,FR,,,,,,,scores_3_neg,borda,scores_3_pos,majority_judgement_5
49,2022-04-09,FR,nspp,nspp,nspp,nspp,Anne Hidalgo,1.0,approval,borda,scores_4_neg,majority_judgement_5
50,2022-04-09,FR,superieur,prive,40-49,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
51,2022-04-09,BE,nspp,liberal,50-59,h,Yannick Jadot,-2.0,approval,irv_2,scores_3_neg,majority_judgement_7
52,2022-04-09,FR,superieur,prive,50-59,h,,1.0,approval,irv_1,scores_3_neg,majority_judgement_5
53,2022-04-09,FR,superieur,public,40-49,h,Emmanuel Macron,1.0,approval,irv_2,scores_4_neg,majority_judgement_5
54,2022-04-09,FR,superieur,prive,40-49,h,Jean-Luc Mélenchon,,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
55,2022-04-09,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,2.0,approval,borda,scores_3_neg,majority_judgement_7
56,2022-04-09,FR,superieur,liberal,40-49,h,Jean-Luc Mélenchon,-1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
57,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_pos,majority_judgement_5
58,2022-04-09,FR,superieur,autre,50-59,h,Jean-Luc Mélenchon,1.0,scores_3_neg,borda,scores_3_pos,majority_judgement_5
59,2022-04-09,FR,superieur,prive,40-49,f,Yannick Jadot,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
60,2022-04-09,FR,superieur,prive,30-39,h,Emmanuel Macron,-1.0,approval,irv_1,scores_4_pos,majority_judgement_7
61,2022-04-09,FR,superieur,prive,40-49,h,Yannick Jadot,1.0,approval,borda,scores_3_neg,majority_judgement_7
62,2022-04-09,FR,superieur,public,18-29,f,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_3_neg,majority_judgement_7
63,2022-04-09,FR,superieur,public,18-29,f,incertitude,0.0,approval,borda,scores_3_neg,majority_judgement_5
64,2022-04-09,FR,superieur,nspp,30-39,f,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_5
65,2022-04-09,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-1.0,approval,borda,scores_4_pos,majority_judgement_5
66,2022-04-09,FR,superieur,public,40-49,h,Jean-Luc Mélenchon,-1.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
67,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
68,2022-04-09,FR,superieur,public,50-59,f,Emmanuel Macron,1.0,approval,borda,scores_3_neg,majority_judgement_5
69,2022-04-09,FR,superieur,prive,18-29,h,incertitude,1.0,approval,borda,scores_3_neg,majority_judgement_7
70,2022-04-09,FR,superieur,prive,40-49,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_neg,majority_judgement_7
71,2022-04-09,FR,superieur,prive,30-39,h,Fabien Roussel,-2.0,approval,irv_1,scores_4_pos,majority_judgement_5
72,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_3_neg,majority_judgement_5
73,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_4_neg,majority_judgement_7
74,2022-04-09,FR,superieur,etudiant,18-29,h,Fabien Roussel,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_5
75,2022-04-09,FR,superieur,liberal,60-69,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_7
76,2022-04-09,FR,superieur,prive,18-29,h,Emmanuel Macron,-2.0,approval,borda,scores_4_neg,majority_judgement_7
77,2022-04-09,FR,superieur,autre,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_3_neg,majority_judgement_5
78,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-1.0,approval,borda,scores_4_neg,majority_judgement_5
79,2022-04-09,FR,secondaire,autre,50-59,f,Yannick Jadot,-1.0,approval,borda,scores_4_neg,majority_judgement_7
80,2022-04-09,FR,superieur,public,40-49,h,Yannick Jadot,-2.0,approval,borda,scores_4_neg,majority_judgement_5
81,2022-04-09,FR,superieur,public,40-49,f,Emmanuel Macron,-1.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
82,2022-04-09,FR,superieur,prive,60-69,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_5
83,2022-04-09,FR,superieur,public,40-49,h,ni,-2.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
84,2022-04-09,FR,superieur,liberal,30-39,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_5
85,2022-04-09,FR,superieur,etudiant,18-29,h,Fabien Roussel,-2.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_7
86,2022-04-09,FR,superieur,public,40-49,f,incertitude,1.0,approval,irv_1,scores_4_pos,majority_judgement_7
87,2022-04-09,FR,superieur,public,18-29,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_4_neg,majority_judgement_7
88,2022-04-09,FR,,,,,Jean-Luc Mélenchon,,approval,irv_1,scores_3_neg,majority_judgement_5
89,2022-04-09,FR,superieur,prive,30-39,h,Eric Zemmour,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_5
90,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
91,2022-04-09,FR,superieur,prive,40-49,h,Jean-Luc Mélenchon,-1.0,approval,borda,scores_4_pos,majority_judgement_5
92,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_3_neg,majority_judgement_5
93,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_5
94,2022-04-09,FR,superieur,prive,50-59,h,,-2.0,approval,irv_2,scores_4_pos,majority_judgement_7
95,2022-04-09,FR,superieur,autre,30-39,f,Eric Zemmour,0.0,approval,borda,scores_3_neg,majority_judgement_5
96,2022-04-09,FR,superieur,prive,30-39,h,Yannick Jadot,-1.0,approval,borda,scores_4_neg,majority_judgement_7
97,2022-04-09,FR,superieur,prive,30-39,f,Jean-Luc Mélenchon,-2.0,approval,borda,scores_3_neg,majority_judgement_5
98,2022-04-09,FR,superieur,public,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_neg,majority_judgement_5
99,2022-04-09,FR,superieur,public,40-49,h,Jean-Luc Mélenchon,0.0,approval,borda,scores_3_neg,majority_judgement_7
100,2022-04-09,FR,superieur,liberal,30-39,h,Emmanuel Macron,-1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
101,2022-04-09,FR,superieur,liberal,40-49,h,Emmanuel Macron,-2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
102,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_7
103,2022-04-09,FR,nspp,nspp,nspp,nspp,nspp,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_7
104,2022-04-09,FR,superieur,prive,40-49,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_3_neg,majority_judgement_7
105,2022-04-09,FR,nspp,retraite,60-69,h,Fabien Roussel,1.0,approval,irv_2,scores_3_neg,majority_judgement_5
106,2022-04-09,FR,superieur,etudiant,18-29,f,nspp,,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
107,2022-04-09,FR,secondaire,autre,60-69,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_3_neg,majority_judgement_5
108,2022-04-09,FR,superieur,retraite,+70,f,Yannick Jadot,1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
109,2022-04-09,FR,secondaire,liberal,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_3_neg,majority_judgement_5
110,2022-04-09,FR,superieur,public,40-49,f,Anne Hidalgo,-1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_7
111,2022-04-09,FR,superieur,public,50-59,f,blanc,-2.0,approval,borda,scores_4_pos,majority_judgement_7
112,2022-04-09,FR,superieur,nspp,18-29,h,Jean Lassalle,-2.0,approval,irv_1,scores_4_pos,majority_judgement_7
113,2022-04-09,FR,superieur,prive,30-39,h,Philippe Poutou,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
114,2022-04-09,FR,superieur,prive,30-39,h,Yannick Jadot,1.0,approval,irv_2,scores_4_pos,majority_judgement_5
115,2022-04-09,FR,superieur,prive,30-39,h,Fabien Roussel,0.0,approval,borda,scores_4_pos,majority_judgement_7
116,2022-04-09,FR,superieur,public,30-39,h,Emmanuel Macron,1.0,approval,irv_1,scores_3_neg,majority_judgement_5
117,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_5
118,2022-04-09,FR,superieur,public,18-29,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_neg,majority_judgement_7
119,2022-04-09,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_neg,majority_judgement_7
120,2022-04-09,FR,superieur,public,18-29,f,Fabien Roussel,0.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
121,2022-04-09,FR,superieur,public,30-39,h,Yannick Jadot,-1.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_5
122,2022-04-09,FR,secondaire,prive,30-39,h,incertitude,-2.0,approval,irv_1,scores_4_neg,majority_judgement_7
123,2022-04-09,FR,superieur,public,40-49,h,Emmanuel Macron,1.0,approval,irv_1,scores_4_neg,majority_judgement_5
124,2022-04-09,FR,secondaire,retraite,+70,f,Nicolas Dupont-Aignan,1.0,approval,irv_2,scores_4_pos,majority_judgement_5
125,2022-04-09,FR,superieur,autre,50-59,f,Jean-Luc Mélenchon,1.0,approval,borda,scores_3_neg,majority_judgement_5
126,2022-04-09,FR,secondaire,public,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_5
127,2022-04-09,FR,secondaire,public,50-59,h,Jean-Luc Mélenchon,0.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
128,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_5
129,2022-04-09,FR,superieur,prive,30-39,h,Marine Le Pen,-1.0,approval,irv_2,scores_4_pos,majority_judgement_7
130,2022-04-09,FR,superieur,etudiant,18-29,h,Eric Zemmour,-1.0,approval,borda,scores_3_neg,majority_judgement_7
131,2022-04-09,FR,superieur,etudiant,18-29,h,Fabien Roussel,1.0,approval,irv_1,scores_4_pos,majority_judgement_5
132,2022-04-09,FR,superieur,liberal,30-39,f,Jean-Luc Mélenchon,0.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
133,2022-04-09,FR,superieur,prive,50-59,h,Emmanuel Macron,1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_7
134,2022-04-09,FR,superieur,prive,18-29,f,Emmanuel Macron,0.0,approval,borda,scores_4_pos,majority_judgement_7
135,2022-04-09,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_neg,majority_judgement_7
136,2022-04-09,FR,,,,,,,approval,borda,scores_3_neg,majority_judgement_7
137,2022-04-09,FR,superieur,prive,30-39,h,Emmanuel Macron,-1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
138,2022-04-09,FR,superieur,prive,18-29,h,abstention,-2.0,approval,irv_2,scores_4_neg,majority_judgement_7
139,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_pos,majority_judgement_5
140,2022-04-09,FR,superieur,public,30-39,f,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_7
141,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-1.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
142,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,borda,scores_4_pos,majority_judgement_7
143,2022-04-09,FR,superieur,public,30-39,h,Yannick Jadot,-1.0,approval,irv_1,scores_4_neg,majority_judgement_7
144,2022-04-09,FR,superieur,public,30-39,f,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_4_neg,majority_judgement_5
145,2022-04-09,FR,superieur,public,18-29,f,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_neg,majority_judgement_7
146,2022-04-09,FR,superieur,public,50-59,f,Jean-Luc Mélenchon,-2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_7
147,2022-04-09,FR,superieur,chomage,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_neg,majority_judgement_5
148,2022-04-09,FR,superieur,prive,18-29,h,Yannick Jadot,1.0,approval,irv_1,scores_4_pos,majority_judgement_7
149,2022-04-09,FR,superieur,public,18-29,h,Emmanuel Macron,,approval,irv_1,scores_4_neg,majority_judgement_5
150,2022-04-09,FR,superieur,public,30-39,f,Emmanuel Macron,0.0,approval,irv_1,scores_4_neg,majority_judgement_7
151,2022-04-09,FR,superieur,autre,30-39,f,nspp,-2.0,approval,borda,scores_3_neg,majority_judgement_7
152,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,0.0,approval,irv_2,scores_3_neg,majority_judgement_7
153,2022-04-09,FR,superieur,public,18-29,f,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
154,2022-04-09,FR,superieur,public,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
155,2022-04-09,FR,superieur,liberal,40-49,h,Jean-Luc Mélenchon,-1.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_5
156,2022-04-09,FR,superieur,etudiant,18-29,h,Fabien Roussel,-1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
157,2022-04-09,FR,superieur,chomage,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_3_neg,majority_judgement_7
158,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_neg,majority_judgement_7
159,2022-04-09,FR,superieur,public,40-49,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_3_neg,majority_judgement_5
160,2022-04-09,FR,superieur,public,40-49,h,Yannick Jadot,-2.0,approval,irv_1,scores_4_pos,majority_judgement_7
161,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_5
162,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_3_neg,majority_judgement_7
163,2022-04-09,FR,superieur,etudiant,18-29,h,Valérie Pecresse,,approval,irv_2,scores_4_neg,majority_judgement_5
164,2022-04-09,FR,superieur,autre,18-29,f,Fabien Roussel,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
165,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-1.0,approval,borda,scores_4_neg,majority_judgement_5
166,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-1.0,approval,borda,scores_4_neg,majority_judgement_5
167,2022-04-09,FR,superieur,public,50-59,f,Emmanuel Macron,-1.0,approval,irv_2,scores_3_neg,majority_judgement_5
168,2022-04-09,FR,superieur,chomage,18-29,h,Jean-Luc Mélenchon,,approval,irv_2,scores_4_neg,majority_judgement_5
169,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
170,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-1.0,approval,irv_2,scores_4_neg,majority_judgement_5
171,2022-04-09,FR,superieur,public,50-59,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_pos,majority_judgement_5
172,2022-04-09,FR,superieur,chomage,30-39,f,Jean-Luc Mélenchon,-2.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_5
173,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
174,2022-04-09,FR,secondaire,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_pos,majority_judgement_5
175,2022-04-09,FR,superieur,public,30-39,h,Emmanuel Macron,-1.0,approval,irv_2,scores_4_pos,majority_judgement_7
176,2022-04-09,FR,secondaire,liberal,30-39,f,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_5
177,2022-04-09,FR,superieur,public,30-39,f,ni,-2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
178,2022-04-09,FR,superieur,nspp,50-59,h,Jean-Luc Mélenchon,1.0,scores_3_neg,borda,scores_3_pos,majority_judgement_7
179,2022-04-09,FR,superieur,liberal,18-29,h,abstention,1.0,approval,borda,scores_4_pos,majority_judgement_5
180,2022-04-09,FR,superieur,prive,50-59,h,incertitude,-1.0,approval,irv_1,scores_4_neg,majority_judgement_7
181,2022-04-09,FR,superieur,public,30-39,h,Fabien Roussel,-1.0,approval,irv_2,scores_3_neg,majority_judgement_7
182,2022-04-09,FR,superieur,public,18-29,f,Anne Hidalgo,-1.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
183,2022-04-09,GB,superieur,prive,30-39,h,Emmanuel Macron,0.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
184,2022-04-09,FR,superieur,liberal,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_pos,majority_judgement_7
185,2022-04-09,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_4_neg,majority_judgement_5
186,2022-04-09,FR,superieur,public,18-29,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
187,2022-04-09,FR,superieur,liberal,30-39,h,Jean-Luc Mélenchon,,scores_3_neg,irv_2,scores_3_pos,majority_judgement_5
188,2022-04-09,FR,secondaire,retraite,60-69,h,Emmanuel Macron,-1.0,approval,irv_1,scores_4_pos,majority_judgement_5
189,2022-04-09,FR,secondaire,public,50-59,h,Marine Le Pen,1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
190,2022-04-09,FR,superieur,public,40-49,h,Emmanuel Macron,,approval,irv_1,scores_4_pos,majority_judgement_5
191,2022-04-09,FR,superieur,public,18-29,f,Jean-Luc Mélenchon,0.0,approval,irv_2,scores_4_pos,majority_judgement_7
192,2022-04-09,FR,superieur,public,40-49,f,Jean-Luc Mélenchon,-1.0,approval,irv_1,scores_3_neg,majority_judgement_7
193,2022-04-09,FR,,,,,abstention,,approval,irv_2,scores_4_pos,majority_judgement_7
194,2022-04-09,FR,superieur,prive,18-29,h,Marine Le Pen,1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
195,2022-04-09,FR,superieur,prive,18-29,h,incertitude,-1.0,approval,irv_1,scores_3_neg,majority_judgement_7
196,2022-04-09,FR,superieur,public,30-39,f,Fabien Roussel,-1.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
197,2022-04-09,FR,superieur,prive,40-49,f,Emmanuel Macron,2.0,scores_3_neg,borda,scores_3_pos,majority_judgement_7
198,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-1.0,approval,irv_2,scores_4_pos,majority_judgement_7
199,2022-04-09,FR,superieur,etudiant,18-29,h,Emmanuel Macron,-1.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
200,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
201,2022-04-09,FR,superieur,etudiant,18-29,h,Jean-Luc Mélenchon,-1.0,approval,irv_2,scores_3_neg,majority_judgement_7
202,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,irv_1,scores_4_pos,majority_judgement_7
203,2022-04-09,FR,secondaire,etudiant,18-29,h,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_7
204,2022-04-09,FR,superieur,public,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_neg,majority_judgement_7
205,2022-04-09,FR,superieur,public,30-39,f,Jean-Luc Mélenchon,-2.0,scores_4_neg,borda,scores_4_pos,majority_judgement_5
206,2022-04-09,FR,superieur,public,18-29,f,Yannick Jadot,-2.0,approval,borda,scores_3_neg,majority_judgement_7
207,2022-04-09,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-2.0,approval,irv_2,scores_4_neg,majority_judgement_5
